scenario,voice,era,halfyear,platform_group,posts,interactions,interactions_observed,reach,interactions_per_post
strict,lay_media,post,2026H1,other,10,18824,1,180129,1882.4
broad,lay_media,pre,2021H1,web,2316,560889,1,6943462,242.180051813472
broad,official,pre,2021H1,web,6850,389089,0.99985401459854,5417558,56.8013138686131
broad,secular,pre,2021H1,web,2799,1141056,1,30378498,407.665594855305
broad,official,pre,2021H1,facebook,112,10340,1,477636,92.3214285714286
broad,portal,pre,2021H1,web,2164,1160216,1,18904275,536.144177449168
broad,secular,pre,2021H1,other,274,0,0.0109489051094891,29612,0
broad,portal,pre,2021H1,facebook,109,12196,1,1144949,111.889908256881
broad,lay_media,pre,2021H1,facebook,381,84661,1,5587307,222.207349081365
broad,portal,pre,2021H1,other,50,0,0,0,0
broad,creators,pre,2021H1,facebook,74,24825,1,1370188,335.472972972973
broad,creators,pre,2021H1,video,63,36198,0.968253968253968,202334,574.571428571429
broad,official,pre,2021H1,video,69,1866,1,106558,27.0434782608696
broad,lay_media,pre,2021H1,video,115,24633,1,2380251,214.2
broad,official,pre,2021H2,web,6985,510150,0.999856836077308,6926982,73.0350751610594
broad,secular,pre,2021H2,web,2164,729554,1,21648027,337.132162661738
broad,portal,pre,2021H2,web,1970,971400,1,16578840,493.096446700508
broad,lay_media,pre,2021H2,web,1762,656004,1,7955577,372.306469920545
broad,creators,pre,2021H2,video,448,83517,0.649553571428571,298190,186.421875
broad,lay_media,pre,2021H2,video,338,19826,0.99112426035503,562815,58.6568047337278
broad,lay_media,pre,2021H2,facebook,451,105472,1,6202299,233.862527716186
broad,creators,pre,2021H2,facebook,146,46547,1,2572852,318.815068493151
broad,official,pre,2021H2,video,133,2085,0.887218045112782,51980,15.6766917293233
broad,secular,pre,2021H2,other,160,0,0,0,0
broad,official,pre,2021H2,facebook,167,21494,1,914108,128.706586826347
broad,official,pre,2021H2,other,13,59,1,2350,4.53846153846154
broad,secular,pre,2021H1,facebook,87,54816,1,5689623,630.068965517241
broad,portal,pre,2021H2,facebook,28,862,1,128652,30.7857142857143
broad,secular,pre,2021H2,facebook,6,1606,1,309347,267.666666666667
broad,lay_media,pre,2021H2,other,3,32,1,696,10.6666666666667
broad,official,pre,2021H1,other,15,114,1,2672,7.6
broad,secular,pre,2021H2,video,5,40,1,927,8
broad,portal,pre,2021H2,video,3,4973,1,143020,1657.66666666667
broad,lay_media,pre,2021H1,other,4,23,1,718,5.75
broad,secular,pre,2022H1,other,61,5,0.0983606557377049,56428,0.0819672131147541
broad,official,pre,2022H1,web,7822,587405,1,7723018,75.0965226284838
broad,lay_media,pre,2022H1,facebook,580,150770,1,8999459,259.948275862069
broad,lay_media,pre,2022H1,web,1491,915523,1,10852104,614.032863849765
broad,creators,pre,2022H1,video,184,85883,1,588623,466.755434782609
broad,secular,pre,2022H1,web,2245,910603,1,25149942,405.613808463252
broad,portal,pre,2022H1,web,1682,672928,1,12828597,400.076099881094
broad,official,pre,2022H1,video,163,8023,1,506745,49.2208588957055
broad,creators,pre,2022H1,facebook,63,17352,1,933561,275.428571428571
broad,lay_media,pre,2022H1,video,529,41938,1,1911598,79.2778827977316
broad,official,pre,2022H1,other,44,183,1,7979,4.15909090909091
broad,official,pre,2022H1,facebook,165,26541,1,1119714,160.854545454545
broad,secular,pre,2022H2,web,2067,989980,1,24812808,478.945331398162
broad,lay_media,pre,2022H2,facebook,551,101887,1,6490841,184.912885662432
broad,portal,pre,2022H2,web,1302,361158,1,8243346,277.387096774194
broad,official,pre,2022H2,web,6935,467822,1,6299046,67.4581110310022
broad,lay_media,pre,2022H2,video,399,15467,1,402320,38.7644110275689
broad,lay_media,pre,2022H2,web,1274,388046,1,4640778,304.588697017268
broad,creators,pre,2022H2,video,501,87416,1,1815959,174.483033932136
broad,official,pre,2022H2,facebook,150,19728,1,824342,131.52
broad,portal,pre,2022H2,facebook,24,917,1,128029,38.2083333333333
broad,official,pre,2022H2,video,74,345,1,15083,4.66216216216216
broad,creators,pre,2022H2,facebook,60,9698,1,562860,161.633333333333
broad,secular,pre,2022H2,video,18,552,1,13785,30.6666666666667
broad,secular,pre,2022H1,facebook,6,4332,1,347437,722
broad,portal,pre,2022H1,facebook,28,1992,1,180504,71.1428571428571
broad,secular,pre,2022H2,other,61,0,0.0163934426229508,10022,0
broad,official,pre,2022H2,other,7,20,1,1338,2.85714285714286
broad,lay_media,pre,2022H1,other,1,2,1,198,2
broad,creators,pre,2022H1,web,1,1142,1,14238,1142
broad,portal,pre,2022H2,video,2,2903,1,28594,1451.5
broad,secular,pre,2022H1,video,9,443,1,29028,49.2222222222222
broad,portal,pre,2022H1,video,3,4430,1,136465,1476.66666666667
broad,portal,pre,2022H1,other,2,11,1,421,5.5
broad,secular,pre,2022H2,facebook,2,162,1,88049,81
broad,lay_media,pre,2022H2,other,1,2,1,169,2
broad,official,pre,2023H1,web,7467,436725,1,5968224,58.487344314986
broad,creators,pre,2023H1,facebook,56,5236,1,325492,93.5
broad,secular,pre,2023H1,web,2485,933288,1,25458261,375.56861167002
broad,portal,pre,2023H1,web,1897,200927,1,3832365,105.918292040063
