voice,posts,interactions,interactions_per_post,reach,post_share_universe,interaction_share_universe
lay_media,46375,8291709,178.796959568733,260654202,32.4668505579748,46.3809221166396
official,72427,4189787,57.8484128846977,74184937,50.7056945630715,23.4362041085027
secular,38457,8962984,233.06508568011,452559651,,
portal,17465,4010958,229.656913827655,91545178,12.2271384365505,22.4358971849003
creators,6571,1384959,210.768376198448,33251434,4.60031644240328,7.7469765899574
