actor_group,estimate,lower,upper,status
official,3.36474670065163,-0.47567586982219,8.87212043101984,unclear
independent,-1.82822698668,-5.92697680605263,3.76032693633073,unclear
creator,3.77069521444533,-0.716813347061918,7.36675334807577,unclear
public,61.2613338315711,40.0013744917322,77.8015551071369,higher
