"frame","label_hr","estimate","std_error","OR","conf_low","conf_high","p_value","n","converged"
"MORAL_DECAY","Moralno propadanje",0.108375950866925,0.126085138285084,1.11446665134124,0.870448764414354,1.42689146992747,0.390039463840325,282584,TRUE
"FOREIGN_THREAT","Vanjska prijetnja",-0.129318994981567,0.15944733309067,0.878693621978119,0.642858895936617,1.20104502898744,0.417339711151824,282584,TRUE
"INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",-0.276010930741435,0.172894823404379,0.75880463641863,0.540706555955196,1.06487422782075,0.110397406633114,282584,TRUE
"TRADITIONAL_VALUES","Tradicionalne vrijednosti",-0.0892082891884052,0.0704969719284596,0.914655040976045,0.796618157148388,1.05018174199996,0.205720753735415,282584,TRUE
"SOVEREIGNTY","Suverenitet",-0.254663173367145,0.197773404979645,0.775177554438752,0.526085293615765,1.14221067989884,0.197867388420453,282584,TRUE
"CONSPIRACY","Zavjera",-0.913400942772272,0.335455205792473,0.401157587426946,0.207861961848033,0.774203267011696,0.00647175031703791,282584,TRUE
"FAITH_DEFENCE","Obrana vjere",-0.0758074395343599,0.258881917505045,0.926994691903739,0.558105830554082,1.53970647101928,0.769654908250976,282584,TRUE
"MEDIA_CRITIQUE","Medijska kritika",-0.423800393956901,0.303585624835098,0.654554521908268,0.36102167357131,1.1867476484509,0.162719592030899,282584,TRUE
