"frame","count","pct"
"TRADITIONAL_VALUES",235723,83.42
"INSTITUTIONAL_DISTRUST",16471,5.83
"FOREIGN_THREAT",5301,1.88
"MORAL_DECAY",4808,1.7
"SOVEREIGNTY",3177,1.12
"MEDIA_CRITIQUE",1581,0.56
"CONSPIRACY",1472,0.52
"FAITH_DEFENCE",1315,0.47
