"frame","label_hr","main_OR","main_p_value","no_short_OR","no_short_p_value","month_OR","month_p_value","lpm_pp","lpm_p_value"
"MORAL_DECAY","Moralno propadanje",1.11446665134124,0.390039463840325,1.11526501764937,0.387282616364009,1.10469798637566,0.43392276262406,-0.0208676473241058,0.921394229646773
"FOREIGN_THREAT","Vanjska prijetnja",0.878693621978119,0.417339711151824,0.881284437358702,0.428265629176706,0.872508247489485,0.397074991042774,-0.479625010344506,0.144463219162777
"INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",0.75880463641863,0.110397406633114,0.760652631825546,0.113178682173246,0.75580458692695,0.101524145904338,-1.81029959341966,0.0349065193373573
"TRADITIONAL_VALUES","Tradicionalne vrijednosti",0.914655040976045,0.205720753735415,0.929433282933762,0.28938516304579,0.92056397016272,0.241787613318656,-0.796729197121678,0.384647571867073
"SOVEREIGNTY","Suverenitet",0.775177554438752,0.197867388420453,0.776802311857579,0.201711661366251,0.772029712460319,0.190805079570269,-0.372759456672727,0.118159542596995
"CONSPIRACY","Zavjera",0.401157587426946,0.00647175031703791,0.405121518028696,0.00701668104033518,0.401211752763405,0.00654416178379912,-0.445173214142752,0.0023233089473123
"FAITH_DEFENCE","Obrana vjere",0.926994691903739,0.769654908250976,0.92611318714606,0.76680415268776,0.91381619460014,0.731309341534273,-0.0912718833017042,0.462458537394905
"MEDIA_CRITIQUE","Medijska kritika",0.654554521908268,0.162719592030899,0.656243424370058,0.165302599285488,0.650146567325746,0.160951780865344,-0.330255954794572,0.0559138618716719
