"Metric","Value"
"Total web records","282584"
"Records with any frame","237635"
"Catholic media records","91292"
"Catholic framed records","76586"
"Date range start","2021-01-01"
"Date range end","2026-06-11"
"Unique sources","1995"
"Unique Catholic sources","65"
