"narrative_phase","n","pct"
"COVID Peak (early 2021)",24882,8.81
"Post-Vaccine Debate",31008,10.97
"Ukraine and Energy Crisis",27694,9.8
"Euro Adoption",14686,5.2
"Culture Wars Period",47680,16.87
"Election Run-up 2024",136634,48.35
