"frame","label_hr","chisq","df","p_value","converged_reduced","converged_full"
"MORAL_DECAY","Moralno propadanje",105.519435993272,30,0.000000000244746830985825,TRUE,TRUE
"FOREIGN_THREAT","Vanjska prijetnja",53.6602136058209,30,0.0050150132250573,TRUE,TRUE
"INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",69.0050791109097,30,0.0000658951545567101,TRUE,TRUE
"TRADITIONAL_VALUES","Tradicionalne vrijednosti",126.470635025209,30,0.0000000000000825239026982919,TRUE,TRUE
"SOVEREIGNTY","Suverenitet",47.5366406913818,30,0.0220404806392841,TRUE,TRUE
"CONSPIRACY","Zavjera",43.0452313688565,30,0.0580595975679639,TRUE,TRUE
"FAITH_DEFENCE","Obrana vjere",64.9967056570367,30,0.000219562622998323,TRUE,TRUE
"MEDIA_CRITIQUE","Medijska kritika",38.5075724869257,30,0.137148198658272,TRUE,TRUE
