"entity","role","recurrence_n","past_anchor_doc","past_anchor_genuine","incidental_share"
"redovi_orders","spine",65468,0.284,0.08,0.204
"odgoj_vrijednosti","spine",40073,0.403,0.09,0.313
"rituali","secondary",21507,0.357,0.077,0.28
"katolicka_skola","spine",19671,0.339,0.062,0.278
"vjeronauk","spine",12598,0.283,0.056,0.227
"stepinac","spine",7384,0.534,0.232,0.301
"strossmayer","spine",2460,0.291,0.049,0.243
"stadler","spine",673,0.37,0.052,0.318
"petkovic_marija","spine",254,0.409,0.039,0.37
