term,estimate,std_error,statistic,p,ci_low,ci_high,min_posts,influencer_sources,institutional_sources,ratio
actor_groupInfluencer,1.78040491492461,0.30179909982393,5.89930492159618,3.50957795855779e-08,1.18281255464844,2.37799727520078,1,62,61,5.9322579921395
actor_groupInfluencer,1.44855973743351,0.392975963058932,3.68612809332635,0.000461879441989379,0.663957912086525,2.23316156278049,5,41,29,4.25697893040309
actor_groupInfluencer,1.5555037148948,0.447768632386325,3.47390058701732,0.00104255370641418,0.656990219309936,2.45401721047966,10,36,20,4.73747225958483
actor_groupInfluencer,1.36730956395455,0.580473447960998,2.35550750642848,0.023621056027448,0.193191191441408,2.54142793646769,20,29,14,3.92477711625524
