theme,Influencer,Institutional,difference,ci_low,ci_high
Devocijski,0.428333029916864,0.270407378939277,0.157925650977586,0.0843495174637876,0.380461626529191
Liturgijski,0.165908125493052,0.171278503715091,-0.0053703782220392,-0.11278146272314,0.0989712218912419
Institucionalni,0.0412646398446508,0.211350243402511,-0.17008560355786,-0.210018791107829,-0.123641670661591
Socijalni,0.115480308271133,0.131975403535742,-0.0164950952646088,-0.0641410079627173,0.0398462449948723
Politički,0.112446143576673,0.0314629771970279,0.0809831663796454,-0.00779662195929751,0.111454866891118
Zajednički,0.136567752897627,0.183525493210351,-0.0469577403127237,-0.139404735023639,0.00235556310454914
