Actor_Group,SOURCE_TYPE,N,share
Institutional,facebook,6695,0.437324449670129
Institutional,web,6707,0.438108302305833
Influencer,facebook,1840,0.128
Influencer,youtube,12531,0.871721739130435
Institutional,youtube,1766,0.11535697955451
Institutional,twitter,139,0.00907962636357698
Influencer,twitter,1,6.95652173913044e-05
Influencer,web,3,0.000208695652173913
Institutional,instagram,2,0.000130642105950748
