term,estimate,std_error,statistic,p,ci_low,ci_high,specification,influencer_sources,institutional_sources,ratio
actor_groupInfluencer,1.83815277607789,0.275012220469624,6.68389489361226,2.75234330607471e-10,1.29553054279648,2.3807750093593,"Primarni skup, najmanje 1 objava",66,119,6.28491788095073
actor_groupInfluencer,1.91524695218896,0.309950973538578,6.17919321344085,1.43842569516279e-08,1.300236976333,2.53025692804492,"Primarni skup, najmanje 5 objava",42,60,6.78861505336066
actor_groupInfluencer,0.865902622289019,0.191551440318918,4.52047043262824,8.47708018436767e-06,0.489154651610335,1.2426505929677,"Široki skup, najmanje 1 objava",231,119,2.37715078718882
actor_groupInfluencer,1.29756741448005,0.257716011200045,5.03487310872916,1.21661430109468e-06,0.788810121468161,1.80632470749193,"Široki skup, najmanje 5 objava",112,60,3.66038163736015
