stage,posts,sources
Službeni DigiKat korpus,413985,10777
Studijski obuhvat nakon isključenja TikToka,413788,10700
"Svi klasificirani izvori, široki skup osjetljivosti",43759,352
Primarni skup visoke pouzdanosti,29684,186
Primarni skup s opaženim interakcijama,29412,185
