term,estimate,std_error,statistic,p,ci_low,ci_high,ratio
log(posts),0.00753997039835911,0.127857650178197,0.0589716015259984,0.953283764786893,-0.251294310433881,0.266374251230599,1.0075684675527
priest,-2.25942531143261,0.675227281540337,-3.34617005740406,0.00185498764174963,-3.62635147949702,-0.892499143368213,0.104410471020414
charismatic,-0.348793968733284,0.910145208911559,-0.383228923602648,0.703685643477596,-2.19128661796628,1.49369868049972,0.70553847828272
