source_share,attention_share
0,0
0.0151515151515152,0
0.0303030303030303,0
0.0454545454545455,3.00029642928721e-07
0.0606060606060606,1.50014821464361e-06
0.0757575757575758,2.70026678635849e-06
0.0909090909090909,8.4008300020042e-06
0.106060606060606,1.41013932176499e-05
0.121212121212121,2.10020750050105e-05
0.136363636363636,2.79027567923711e-05
0.151515151515152,3.96039128665912e-05
0.166666666666667,5.16050985837401e-05
0.181818181818182,6.36062843008889e-05
0.196969696969697,7.59074996609665e-05
0.212121212121212,8.9408833592759e-05
0.227272727272727,0.000103810256453338
0.242424242424242,0.000118811738599774
0.257575757575758,0.000137113546818426
0.272727272727273,0.000158115621823436
0.287878787878788,0.000185118289687021
0.303030303030303,0.000215721313265751
0.318181818181818,0.000252324929703055
0.333333333333333,0.000296729316856505
0.348484848484849,0.000400839602952772
0.363636363636364,0.000539153268342912
0.378787878787879,0.000702369394096137
0.393939393939394,0.000873386290565508
0.409090909090909,0.00105460419489446
0.424242424242424,0.00125232372958448
0.439393939393939,0.00156345446930157
0.454545454545455,0.00190608832152617
0.46969696969697,0.00238853598735555
0.484848484848485,0.0028799845424728
0.5,0.00340143606188291
0.515151515151515,0.00401169635559993
0.53030303030303,0.00467146154040019
0.545454545454545,0.00533542714020145
0.560606060606061,0.00612930557539085
0.575757575757576,0.00692678436629539
0.590909090909091,0.00786767732651986
0.606060606060606,0.00882927233210641
0.621212121212121,0.00990697880950638
0.636363636363636,0.0111055972330066
0.651515151515152,0.012341719361873
0.666666666666667,0.0136396475971826
0.681818181818182,0.0149954815535775
0.696969696969697,0.016782158077218
0.712121212121212,0.018596437328008
0.727272727272727,0.020440119483805
0.742424242424242,0.0253342030192583
0.757575757575758,0.0308508480637887
0.772727272727273,0.036839439736646
0.787878787878788,0.0436345110896957
0.803030303030303,0.050662705475301
0.818181818181818,0.0585276825350345
0.833333333333333,0.0666782878148361
0.848484848484848,0.0748834984896508
0.863636363636364,0.084382737014417
0.878787878787879,0.0960589906282741
0.893939393939394,0.10853422318125
0.909090909090909,0.123430394923018
0.924242424242424,0.145399165437545
0.939393939393939,0.168685066084529
0.954545454545455,0.221917525451515
0.96969696969697,0.336912286933949
0.984848484848485,0.513817565175439
1,1
