year,outlets,post_top10,interaction_top10
2021,69,48.7842454283609,75.2515148271536
2022,75,43.0516972694627,77.4761804257372
2023,73,40.721028955205,63.9910702717787
2024,80,43.3108294295949,62.7040040148636
2025,85,45.4540712534557,70.1543769669325
2026,82,44.6356142875834,63.5273203764283
