label,type,events,above_baseline,general_posts,catholic_posts,mean_difference,general_share
Smrt pape Franje,papal,1,1,2443,394,34.6113235033488,86.112090236165
Sprovod pape Franje,papal,1,1,460,76,34.3201287895719,85.8208955223881
Božić,liturgical,5,5,1948,582,32.6174470590561,76.9960474308301
Velika Gospa,liturgical,5,5,1133,371,29.8436850571529,75.3324468085106
Uskrs,liturgical,4,4,2131,892,28.067296693296,70.492887859742
