indicator,era,estimate,lower,upper,cells
t1,pre,0.0110278022774637,-0.00172240190243201,0.0237780064573594,14
t1,post,-0.0118252297973604,-0.0349206679358385,0.0112702083411177,14
t2_rik,pre,-0.42187466396042,-1.54822860441485,0.704479276494012,14
t2_rik,post,0.252119072647571,-1.46131645504747,1.96555460034261,14
t2_gap,pre,-1.69727422312954,-4.87745262609035,1.48290417983126,8
t2_gap,post,-0.215369887130791,-2.06755654882994,1.63681677456836,12
t3,pre,-0.442465302849365,-0.975990841726284,0.0910602360275534,14
t3,post,1.01043244012803,0.207017662750389,1.81384721750566,14
t4_posts,pre,0.666278796501817,-0.0824614130703074,1.41501900607394,24
t4_posts,post,0.616630141635452,-1.41007847784532,2.64333876111622,16
t4_interactions,pre,3.22470227243657,1.8202165141344,4.62918803073874,24
t4_interactions,post,-3.41911798646046,-9.36838544685592,2.53014947393501,16
