era,platform_group,posts,typed_posts,interactions,typed_interactions,post_coverage,interaction_coverage
2021.–2023.,web,83374,42379,10508937,7869960,50.8299949624583,74.8882593929339
2021.–2023.,facebook,3434,372,477036,75173,10.8328479906814,15.7583494746728
2021.–2023.,other,5709,4260,64129,12,74.6190225959012,0.0187122830544683
2021.–2023.,video,6893,76,494349,2521,1.10256782242855,0.509963608705591
2024. 2. pol.–2026. 1. pol.,web,81898,51439,4485348,3587529,62.8086155950084,79.9832922662857
2024. 2. pol.–2026. 1. pol.,other,8295,5355,457631,256336,64.5569620253165,56.0136878839065
2024. 2. pol.–2026. 1. pol.,video,12683,412,2007869,51848,3.2484427974454,2.58224017602742
2024. 2. pol.–2026. 1. pol.,facebook,29034,9322,4050493,1080122,32.1071846800303,26.6664329502606
