period,peak_date,label,type,whole_z,secular_share,baseline_share,secular_driven,tone_shift,rik_shift,sampled_documents
02.04.2021.,2021-04-02,Događaj nije prepoznat,other,3.08877637573132,27.8947368421053,24.4497292132906,FALSE,-0.0215479588988224,-5.82324549368327,49
04.04.2021.,2021-04-04,Uskrs,liturgical,4.72453337400024,44.8770491803279,24.4497292132906,TRUE,-0.0355531545647073,-4.31041833224088,49
15.08.2021.,2021-08-15,Velika Gospa,liturgical,3.67946640288399,36.7541766109785,24.4497292132906,TRUE,0.127084155534443,-0.623445919199531,22
25.12.2021.,2021-12-25,Božić,liturgical,6.42087396479763,40.7407407407407,24.4497292132906,TRUE,0.0562671257224369,10.9331012208539,48
17.04.2022.,2022-04-17,Uskrs,liturgical,6.87518835639923,33.8004484304933,24.4497292132906,TRUE,-0.0152717735160929,6.60146800425852,51
15.08.2022.,2022-08-15,Velika Gospa,liturgical,5.68879743910191,44.0643863179074,24.4497292132906,TRUE,0.202715561378407,-9.49820979402176,34
25.12.2022.,2022-12-25,Božić,liturgical,6.22965212198745,45.766590389016,24.4497292132906,TRUE,0.162498525323105,-4.56787152880584,58
31.12.2022.,2022-12-31,Događaj nije prepoznat,other,4.69432269960268,41.3636363636364,24.4497292132906,TRUE,-0.068533332114794,3.89303710581838,46
14.01.2023.,2023-01-14,Događaj nije prepoznat,other,3.38403581489613,29.144385026738,24.4497292132906,FALSE,0.0802884998185779,-2.38505177899904,24
02.04.2023.,2023-04-02,Događaj nije prepoznat,other,3.79170471378872,40.7317073170732,24.4497292132906,TRUE,-0.225072122629634,16.707250624962,57
09.04.2023.,2023-04-09,Uskrs,liturgical,4.80272358304235,38.6107634543179,24.4497292132906,TRUE,0.100492855811473,-0.208998968227213,57
15.08.2023.,2023-08-15,Velika Gospa,liturgical,5.11255194620073,41.1405295315682,24.4497292132906,TRUE,0.208507764294161,-5.92320840081428,27
25.12.2023.,2023-12-25,Božić,liturgical,5.4223803093591,39.6963123644252,24.4497292132906,TRUE,0.0561924970327673,-5.05108825251367,54
15.08.2024.,2024-08-15,Velika Gospa,liturgical,4.92028977752954,45.409429280397,30.0490519336218,TRUE,0.09499449957573,-1.54823992831225,53
25.12.2024.,2024-12-25,Božić,liturgical,7.18117275575406,42.1291053227633,30.0490519336218,TRUE,0.107899765452469,-7.32023430608258,85
21.04.2025.,2025-04-21,Smrt pape Franje,papal,12.0268753634594,55.5829734731647,30.0490519336218,TRUE,-0.107445735999208,3.43335091981617,347
26.04.2025.,2025-04-26,Sprovod pape Franje,papal,4.70094755762699,54.6212121212121,30.0490519336218,TRUE,-0.0501216501167736,-7.21989964025973,189
15.08.2025.,2025-08-15,Velika Gospa,liturgical,3.36232287549814,45.2631578947368,30.0490519336218,TRUE,0.0829190833161976,-11.5566593406675,98
25.12.2025.,2025-12-25,Božić,liturgical,3.29417470986249,47.1387002909796,30.0490519336218,TRUE,0.111280117653087,-1.90919137510289,114
29.03.2026.,2026-03-29,Događaj nije prepoznat,other,3.14490155937003,37.603993344426,30.0490519336218,FALSE,0.0366827490199159,-12.496453716304,61
05.04.2026.,2026-04-05,Uskrs,liturgical,6.17010227558608,45.5969517358171,30.0490519336218,TRUE,-0.0166090903277827,-1.61603542925018,111
