theme,label,color,catholic_posts,general_posts,catholic_share,general_share,gap
faith,Vjera i duhovni život,#2f8f6b,55484,34727,52.8011724288882,40.0099082907046,-12.7912641381836
institution,Crkveno vodstvo i Sveta Stolica,#55768c,33027,30556,31.4300396836726,35.2043872989539,3.77434761528127
public_questions,Javna pitanja i prijepori,#c47b21,8647,9951,8.2288900943082,11.4648140467303,3.23592395242206
history_culture,Povijest i kultura,#846d9b,4606,8760,4.38328527516868,10.0926309968201,5.70934572165145
community,"Služenje, mladi i dijalog",#5b8a72,3246,2425,3.08904559339938,2.79390755334347,-0.295138040055906
abuse,Zlostavljanje i kriza povjerenja,#b5462f,71,377,0.0675669245629562,0.434351813447624,0.366784888884668
