"lemma","n"
"svet",28065
"sav",23106
"sv.",20631
"hrvatski",15115
"ljubav",13306
"riječ",13185
"prvi",12266
"obitelj",11139
"božji",10919
"sat",10213
"duhovan",9633
"mjesto",8605
"slavlje",8119
"zajednica",7578
"održati",7281
"biskupija",7232
"narod",7051
"osoba",6911
"susret",6871
"smrt",6490
"mnogi",6456
"mir",6426
"blagdan",6405
"sestra",6355
"činiti",6255
