"date","year","avg_cli","z_score_cli","is_cli_spike"
2021-01-01,2021,71.4982779611278,-0.427802142960893,FALSE
2021-01-02,2021,86.3374384683115,0.311085734572844,FALSE
2021-01-03,2021,113.273481135769,1.65231493592022,FALSE
2021-01-04,2021,85.4154809565375,0.265178607365669,FALSE
2021-01-05,2021,92.2214433812554,0.604068609137645,FALSE
2021-01-06,2021,95.2461219773412,0.754676748122437,FALSE
2021-01-07,2021,102.848585357846,1.13322700563397,FALSE
2021-01-08,2021,95.5997925512513,0.772287104151411,FALSE
2021-01-09,2021,114.258971297975,1.70138555106254,FALSE
2021-01-10,2021,103.100795302013,1.14578532187079,FALSE
2021-01-11,2021,98.8518353538368,0.934216412948093,FALSE
2021-01-12,2021,112.95929996565,1.63667087992141,FALSE
2021-01-13,2021,82.1588800614065,0.103022336988182,FALSE
2021-01-14,2021,79.7377931137545,-0.0175310996573203,FALSE
2021-01-15,2021,90.797726460846,0.533177323001822,FALSE
2021-01-16,2021,81.1685685514451,0.0537116519707661,FALSE
2021-01-17,2021,97.1711555715216,0.850530148043309,FALSE
2021-01-18,2021,75.263379468395,-0.240326048200883,FALSE
2021-01-19,2021,77.7296859828129,-0.117520988918474,FALSE
2021-01-20,2021,92.355894847855,0.610763365134051,FALSE
2021-01-21,2021,90.318621478931,0.509321198322021,FALSE
2021-01-22,2021,75.257844288465,-0.240601661996439,FALSE
2021-01-23,2021,97.845314225392,0.884098600695209,FALSE
2021-01-24,2021,95.8586567198288,0.785176754883149,FALSE
2021-01-25,2021,82.4132945498424,0.115690424329323,FALSE
2021-01-26,2021,84.417980651696,0.215509969929826,FALSE
2021-01-27,2021,82.3905286569298,0.114556839832667,FALSE
2021-01-28,2021,81.85441750947,0.0878622011651366,FALSE
2021-01-29,2021,82.3662404886491,0.113347456518736,FALSE
2021-01-30,2021,60.373092269869,-0.98175968244592,FALSE
2021-01-31,2021,86.5308640698307,0.320716995862726,FALSE
2021-02-01,2021,74.0825623178564,-0.299122600586344,FALSE
2021-02-02,2021,67.1559322463101,-0.644021019169295,FALSE
2021-02-03,2021,69.9963990251303,-0.50258535854742,FALSE
2021-02-04,2021,58.2129981246104,-1.08931747707254,FALSE
2021-02-05,2021,59.3190096776644,-1.03424572765867,FALSE
2021-02-06,2021,62.9470672389127,-0.853593476495053,FALSE
2021-02-07,2021,72.1557558344048,-0.395064278168885,FALSE
2021-02-08,2021,69.2807241893327,-0.538221030806023,FALSE
2021-02-09,2021,78.6050556204089,-0.0739336166228754,FALSE
2021-02-10,2021,96.681948287992,0.826170998398275,FALSE
2021-02-11,2021,110.858311751548,1.53205615313213,FALSE
2021-02-12,2021,53.9347480226668,-1.30234483369782,FALSE
2021-02-13,2021,47.3080285966625,-1.63230977001087,FALSE
2021-02-14,2021,71.6557998641286,-0.41995863830192,FALSE
2021-02-15,2021,69.4123083869369,-0.531669045035825,FALSE
2021-02-16,2021,86.788561874749,0.333548569726292,FALSE
2021-02-17,2021,69.0317243128437,-0.550619507805854,FALSE
2021-02-18,2021,80.0592564664481,-0.00152444117676303,FALSE
2021-02-19,2021,93.5897930763695,0.672202989209712,FALSE
2021-02-20,2021,68.3844502393413,-0.582849293724083,FALSE
2021-02-21,2021,81.3755380200861,0.064017304458613,FALSE
2021-02-22,2021,66.9971307111803,-0.651928240685251,FALSE
2021-02-23,2021,76.1310040573132,-0.19712432592748,FALSE
2021-02-24,2021,89.8458132761653,0.485778609827678,FALSE
2021-02-25,2021,88.8372191039506,0.43555757428865,FALSE
2021-02-26,2021,75.6359835429076,-0.221772934388026,FALSE
2021-02-27,2021,61.7870225013082,-0.911355705941781,FALSE
2021-02-28,2021,84.6277991823558,0.225957486061983,FALSE
2021-03-01,2021,113.564431093185,1.66680223770522,FALSE
2021-03-02,2021,108.621912828568,1.42069890669492,FALSE
2021-03-03,2021,73.3096358759159,-0.337609008082151,FALSE
2021-03-04,2021,120.886290635211,2.03138035881853,FALSE
2021-03-05,2021,96.4728868552354,0.81576118052152,FALSE
2021-03-06,2021,109.531653301723,1.46599770961515,FALSE
2021-03-07,2021,106.910334209375,1.3354740927605,FALSE
2021-03-08,2021,89.9248599676938,0.489714590040391,FALSE
2021-03-09,2021,94.4317811787691,0.714128191217568,FALSE
2021-03-10,2021,98.380536628216,0.910748986007753,FALSE
2021-03-11,2021,124.499548652693,2.21129569474516,FALSE
2021-03-12,2021,112.053431570514,1.59156487978866,FALSE
2021-03-13,2021,43.3070866141732,-1.83152909432143,FALSE
2021-03-14,2021,103.973509933775,1.18924049318207,FALSE
2021-03-15,2021,79.5152240128437,-0.0286135062730445,FALSE
2021-03-16,2021,63.7792898222774,-0.812154530002071,FALSE
2021-03-17,2021,57.56767650261,-1.12145004436809,FALSE
2021-03-18,2021,69.6388577827548,-0.520388447177787,FALSE
2021-03-19,2021,67.1250746823403,-0.645557513092686,FALSE
2021-03-20,2021,55.5664311856328,-1.22109826260589,FALSE
2021-03-21,2021,145.823587058378,3.27308577851685,TRUE
2021-03-22,2021,62.2287710609942,-0.889359673517173,FALSE
2021-03-23,2021,66.9013985983305,-0.656695039834107,FALSE
2021-03-24,2021,53.9786556105801,-1.30015853856171,FALSE
2021-03-25,2021,41.0014374449623,-1.94633452554181,FALSE
2021-03-26,2021,94.0746889880372,0.696347462262851,FALSE
2021-03-27,2021,59.0030294481648,-1.04997936441019,FALSE
2021-03-28,2021,64.071146647193,-0.797622072468421,FALSE
2021-03-29,2021,89.7414379374328,0.480581437624736,FALSE
2021-03-30,2021,76.8543347199873,-0.161107446277203,FALSE
2021-03-31,2021,80.1260412262152,0.00180097938001413,FALSE
2021-04-01,2021,71.9507611633943,-0.405271599350929,FALSE
2021-04-02,2021,69.0030312571393,-0.552048224141867,FALSE
2021-04-03,2021,93.3581221966385,0.660667376765331,FALSE
2021-04-04,2021,97.3405079957048,0.858962731085952,FALSE
2021-04-05,2021,94.3134535367545,0.708236290512038,FALSE
2021-04-06,2021,83.5349088778377,0.171539084354443,FALSE
2021-04-07,2021,63.3741522664288,-0.832327586867738,FALSE
2021-04-08,2021,105.921087074438,1.28621640628045,FALSE
2021-04-10,2021,64.9350649350649,-0.754604898432247,FALSE
2021-04-11,2021,76.9985075540868,-0.153928633207946,FALSE
2021-04-12,2021,70.349549377759,-0.485000905951345,FALSE
2021-04-13,2021,57.1078310483862,-1.14434717736294,FALSE
2021-04-14,2021,94.494300266796,0.717241210733407,FALSE
2021-04-15,2021,74.1702520006214,-0.294756259003313,FALSE
2021-04-16,2021,107.421955022283,1.36094928162775,FALSE
2021-04-17,2021,82.2024492404516,0.105191781695983,FALSE
2021-04-18,2021,67.7902742073693,-0.612435163284068,FALSE
2021-04-19,2021,12.7388535031847,-3.35361633587398,FALSE
2021-04-20,2021,72.5254041841813,-0.376658339068222,FALSE
2021-04-21,2021,65.3534347887925,-0.733772964368645,FALSE
2021-04-22,2021,82.2420334867199,0.107162804227533,FALSE
2021-04-23,2021,76.2070113047826,-0.193339689072001,FALSE
2021-04-24,2021,55.5347326336832,-1.22267663193208,FALSE
2021-04-25,2021,84.1751652956118,0.203419439404003,FALSE
2021-04-26,2021,94.6150997501913,0.723256192096396,FALSE
2021-04-27,2021,71.8416361907333,-0.410705270574873,FALSE
2021-04-28,2021,37.5797580746625,-2.11671056576982,FALSE
2021-04-30,2021,69.9917179862625,-0.502818442007365,FALSE
2021-05-01,2021,67.5675675675676,-0.623524418388231,FALSE
2021-05-02,2021,81.1109932238894,0.0508447976392605,FALSE
2021-05-03,2021,97.8746668615996,0.88556015959249,FALSE
2021-05-04,2021,102.053695933706,1.09364699305893,FALSE
2021-05-05,2021,82.1396396396396,0.102064296646527,FALSE
2021-05-06,2021,59.7368632519062,-1.01343950075372,FALSE
2021-05-07,2021,57.7127459815157,-1.11422658456983,FALSE
2021-05-08,2021,120.874743308199,2.03080538155194,FALSE
2021-05-09,2021,115.384615384615,1.75743486528307,FALSE
2021-05-10,2021,77.1354433262058,-0.147110175925915,FALSE
2021-05-11,2021,83.8122621700016,0.185349365958633,FALSE
2021-05-12,2021,166.74881212577,4.31501770785181,TRUE
2021-05-13,2021,66.8056399808777,-0.661463158729449,FALSE
2021-05-14,2021,99.9949092159935,0.991133609811377,FALSE
2021-05-15,2021,185.288640595903,5.23817333390658,TRUE
2021-05-16,2021,108.129718959732,1.39619104569406,FALSE
2021-05-17,2021,95.9539257527199,0.789920495842988,FALSE
2021-05-18,2021,75.2291354827937,-0.242031162572212,FALSE
2021-05-19,2021,63.4361689766361,-0.829239582303431,FALSE
2021-05-20,2021,50.4240959089189,-1.4771511030842,FALSE
2021-05-21,2021,77.6889144182377,-0.119551131715171,FALSE
2021-05-22,2021,76.5665146191944,-0.175438902782677,FALSE
2021-05-23,2021,84.1739396056225,0.203358408493648,FALSE
2021-05-24,2021,66.0164746958194,-0.700758148646011,FALSE
2021-05-25,2021,57.7416535777036,-1.11278718559699,FALSE
2021-05-26,2021,48.6126388882479,-1.56734917275258,FALSE
2021-05-27,2021,58.1975195602826,-1.09008820285167,FALSE
2021-05-30,2021,76.5088823402302,-0.178308592901647,FALSE
2021-05-31,2021,80.303359194435,0.0106301915934074,FALSE
2021-06-01,2021,66.2899277283903,-0.687142073077337,FALSE
2021-06-02,2021,96.0519239925956,0.794800132492837,FALSE
2021-06-03,2021,78.6742602684134,-0.0704877023169591,FALSE
2021-06-04,2021,77.5820901918197,-0.124870241639819,FALSE
2021-06-05,2021,58.8099781123898,-1.05959198984657,FALSE
2021-06-06,2021,87.4440565857019,0.366187686708421,FALSE
2021-06-07,2021,90.2543089358326,0.506118877109454,FALSE
2021-06-08,2021,62.920793898122,-0.854901707712253,FALSE
2021-06-09,2021,109.995927246755,1.48911535091785,FALSE
2021-06-10,2021,80.5387654356201,0.0223517992829543,FALSE
2021-06-11,2021,73.8131403978628,-0.312537954543113,FALSE
2021-06-12,2021,58.0590170774344,-1.09698467152557,FALSE
2021-06-13,2021,73.8866396761134,-0.308878197262333,FALSE
2021-06-14,2021,53.5624749318794,-1.32088146680329,FALSE
2021-06-15,2021,75.1470385121483,-0.246119025653333,FALSE
2021-06-16,2021,78.550033620637,-0.0766733328358969,FALSE
2021-06-17,2021,93.6751131942104,0.676451342797626,FALSE
2021-06-18,2021,84.4033954252268,0.214783726216515,FALSE
2021-06-19,2021,88.8246604941615,0.434932242112524,FALSE
2021-06-20,2021,94.0419334020846,0.69471645993154,FALSE
2021-06-23,2021,84.0980105883057,0.199577666960371,FALSE
2021-06-24,2021,75.6336692141512,-0.221888172002844,FALSE
2021-06-25,2021,71.062697986939,-0.449491022360017,FALSE
2021-06-26,2021,47.6190476190476,-1.61682316716622,FALSE
2021-06-27,2021,54.8148148148148,-1.25852357549232,FALSE
2021-06-28,2021,77.6857824272132,-0.119707083273176,FALSE
2021-06-29,2021,73.4257073414672,-0.331829449408198,FALSE
2021-06-30,2021,77.8950177866373,-0.109288605047602,FALSE
2021-07-01,2021,88.0113690798228,0.394435937306991,FALSE
2021-07-02,2021,44.9263687095149,-1.75090001089207,FALSE
2021-07-03,2021,81.1612554700099,0.0533475109388472,FALSE
2021-07-04,2021,72.8512903093724,-0.360431457012219,FALSE
2021-07-05,2021,83.9461218342909,0.192014654280449,FALSE
2021-07-06,2021,93.4904130463599,0.66725454893861,FALSE
2021-07-07,2021,95.300507423473,0.757384768353203,FALSE
2021-07-08,2021,75.5073684485449,-0.228177079288706,FALSE
2021-07-09,2021,84.3577115351167,0.212508983478565,FALSE
2021-07-10,2021,65.3368631790085,-0.734598116274958,FALSE
2021-07-11,2021,45.6811001280464,-1.7133195901077,FALSE
2021-07-12,2021,51.1616509861354,-1.44042594566678,FALSE
2021-07-13,2021,87.2027452755468,0.354172047299501,FALSE
2021-07-14,2021,51.3949716927081,-1.42880818322121,FALSE
2021-07-15,2021,68.4322268396003,-0.580470348449917,FALSE
2021-07-16,2021,94.0988835725678,0.697552185751282,FALSE
2021-07-17,2021,68.2879030676575,-0.587656677183061,FALSE
2021-07-18,2021,91.8096711546364,0.583565191413539,FALSE
2021-07-19,2021,90.5115231165744,0.518926369823607,FALSE
2021-07-20,2021,66.1046635650154,-0.696366951020593,FALSE
2021-07-21,2021,76.4167054112369,-0.182898368407376,FALSE
