"year","lemma","total_cooccurrences","avg_sentiment"
"2023","svet",11,0.636363621900827
"2023","biskup",8,0.636363621900827
"2023","misa",7,0.636363621900827
"2023","prvi",7,0.636363621900827
"2023","život",7,0.636363621900827
"2023","dolazak",6,0.636363621900827
"2023","bl.",5,0.636363621900827
"2023","dan",5,0.636363621900827
"2023","molitva",5,0.636363621900827
"2023","svetac",5,0.636363621900827
"2023","relikvija",4,0.636363621900827
"2023","svećenik",4,0.636363621900827
"2024","bl.",7,0.999999928571434
"2024","blažen",6,0.999999928571434
"2024","nada",5,0.999999928571434
"2024","ostatak",5,0.999999928571434
"2024","zagrebački",5,0.999999928571434
"2024","štovanje",5,0.999999928571434
"2024","godina",4,0.999999928571434
"2024","izložiti",4,0.999999928571434
"2024","prostor",4,0.999999928571434
"2024","zemni",4,0.999999928571434
"2024","Bogoslužan",3,0.999999928571434
"2024","hodočasnik",3,0.999999928571434
"2025","biskup",21,0.666666654320988
"2025","križni",15,0.666666654320988
"2025","put",15,0.666666654320988
"2025","čovjek",14,0.677489160712464
"2025","ljubav",13,0.666666654320988
"2025","život",12,0.666666654320988
"2025","križ",9,0.666666654320988
"2025","bl.",8,0.749999907407435
"2025","nada",8,0.666666654320988
"2025","sav",8,0.666666654320988
"2025","slavlje",8,0.749999907407435
"2025","povjerenje",7,0.666666654320988
"2026","vrijeme",8,0.666666652777778
"2026","crkva",6,0.666666652777778
"2026","drugi",6,0.666666652777778
"2026","strana",6,0.666666652777778
"2026","knjiga",5,0.666666652777778
"2026","kriv",5,0.666666652777778
"2026","misa",5,0.666666652777778
"2026","narod",5,0.666666652777778
"2026","susret",5,0.666666652777778
"2026","život",5,0.666666652777778
"2026","bl.",4,0.666666652777778
"2026","dan",4,0.666666652777778
