"year","top10_share","sources_with_interactions"
2021,0.602617189697665,1426
2022,0.612200960072903,1566
2023,0.475654754189255,1500
2024,0.419903564331819,2159
2025,0.271456912965743,3561
2026,0.443822248772887,1355
